,eval_time,stop_reason,asteroids_hit,deaths,accuracy,mean_eval_time
0,7.019,StopReason.no_ships,[29],[3],[0.5306122448979592],[1.2098316295433695]
1,2.562,StopReason.no_ships,[16],[3],[0.52],[0.15769849594309218]
2,1.167,StopReason.no_ships,[6],[3],[0.42857142857142855],[0.057667751511017384]
3,0.301,StopReason.no_ships,[6],[3],[1.0],[0.01685229999566218]
4,5.2,StopReason.no_ships,[34],[3],[0.62],[0.3118111836141241]
5,3.053,StopReason.no_ships,[21],[3],[0.6666666666666666],[0.2192198291992876]
6,7.75,StopReason.no_ships,[30],[3],[0.9],[0.4956735465104588]
7,7.034,StopReason.no_ships,[49],[3],[0.71875],[0.4630444298428441]
8,9.496,StopReason.no_ships,[27],[3],[0.38095238095238093],[0.6458713461180576]
9,13.839,StopReason.no_ships,[56],[3],[0.6091954022988506],[1.887920100767983]
10,6.314,StopReason.no_ships,[18],[3],[0.32608695652173914],[0.4188969021441114]
11,4.053,StopReason.no_ships,[17],[3],[0.4375],[0.2735590160014343]
12,1.208,StopReason.no_ships,[12],[3],[0.75],[0.07300827647443786]
13,6.247,StopReason.no_ships,[47],[3],[0.4090909090909091],[0.3896003107996138]
14,8.505,StopReason.no_ships,[43],[3],[0.47619047619047616],[0.5442674392776271]
15,6.925,StopReason.no_ships,[20],[3],[0.2786885245901639],[0.44689061413554576]
16,6.756,StopReason.no_ships,[25],[3],[0.3283582089552239],[0.45183870449545793]
17,2.674,StopReason.no_ships,[9],[3],[0.5],[0.17100404358214477]
18,6.682,StopReason.no_ships,[34],[3],[0.6326530612244898],[0.5440183657916542]
19,6.798,StopReason.no_ships,[36],[3],[0.55],[1.074040998925628]
20,4.375,StopReason.no_ships,[24],[3],[0.6774193548387096],[0.6387436170565396]
21,2.197,StopReason.no_ships,[19],[3],[0.7619047619047619],[0.2679913349250758]
22,13.46,StopReason.no_ships,[28],[3],[0.4166666666666667],[2.07599534300318]
23,11.113,StopReason.no_ships,[25],[3],[0.25301204819277107],[1.9615156769649669]
24,7.463,StopReason.no_ships,[23],[3],[0.4166666666666667],[1.279179977026163]
25,5.552,StopReason.no_ships,[28],[3],[0.6756756756756757],[0.9936494986421581]
26,4.932,StopReason.no_ships,[30],[3],[0.6428571428571429],[0.9037923488266001]
27,2.791,StopReason.no_ships,[20],[3],[0.7727272727272727],[0.553961120300485]
28,2.28,StopReason.no_ships,[8],[3],[0.29411764705882354],[0.29570049384201413]
29,1.912,StopReason.no_ships,[18],[3],[0.8333333333333334],[0.2695934365524758]
30,4.417,StopReason.no_ships,[19],[3],[1.0],[0.8867033018867804]
31,15.745,StopReason.no_ships,[30],[3],[0.24770642201834864],[2.823962353044103]
32,1.989,StopReason.no_ships,[13],[3],[0.5882352941176471],[0.39712579599392483]
33,1.372,StopReason.no_ships,[12],[3],[0.6923076923076923],[0.19600040539611457]
34,8.242,StopReason.no_ships,[28],[3],[0.36231884057971014],[1.6074955604096568]
35,1.424,StopReason.no_ships,[9],[3],[0.6],[0.19771320527338263]
36,2.989,StopReason.no_ships,[22],[3],[0.76],[0.5965632027023462]
37,4.68,StopReason.no_ships,[11],[3],[0.47058823529411764],[0.8882458827199033]
38,3.467,StopReason.no_ships,[11],[3],[0.3076923076923077],[0.8043836470431416]
39,2.026,StopReason.no_ships,[5],[3],[0.2857142857142857],[0.40572423635272903]
